"","nReads","Biome","Country","Hemisphere","Continent","IS10","IS10R","IS26","IS292","IS621","IS679","ISCR","ISCau1","ISRj1","Tn916","insertion_element_IS91","integrase","istA","istA1","istA11","istA13","istA15","istA17","istA3","istA5","istA7","istB","istB1","istB3","plasmid","qacEdelta","tniA","tniB","tnp.ISCR","transposase"
"5542",4746865,"Marine","United States","Northern and Western","North America",0,0,0,0,0,0,1.99185989068575e-09,0,0,0,1.20899347253398e-08,7.8668763489166e-11,6.02658807444492e-11,0,0,0,0,0,1.18181368124014e-10,0,0,6.70677594580844e-10,2.35220508693633e-11,0,0,1.9373102036818e-10,1.22115080163434e-09,6.25977144915644e-10,0,6.25279244301239e-08
"5692",6306408,"Estuary","United States","Northern and Western","North America",0,0,0,0,0,0,3.74089180401902e-10,0,0,2.70317112372051e-11,2.89143931061866e-09,0,2.82144764499855e-11,0,0,0,0,0,2.09032939194546e-10,0,0,5.59117488116849e-10,0,0,5.94658639276114e-11,0,3.28679971229264e-11,2.91316705167189e-10,0,9.58435261403956e-09
"11978",199790265,"Freshwater","Canada","Northern and Western","North America",0,0,0,1.41648543286131e-13,0,0,9.42498374482861e-13,4.36958227168876e-14,2.06493544617902e-12,0,3.38266251361146e-10,9.31495335871345e-12,6.67191166696736e-11,4.88011765738436e-13,3.2371997704693e-12,9.04068073587069e-13,1.66165753871942e-12,0,7.48080943783722e-11,8.90714069576914e-13,0,8.91185363811395e-11,8.96854458849634e-11,4.91014915066057e-13,5.82175512905997e-13,9.15960544924449e-14,1.20305491361153e-10,1.17713868591145e-10,6.52944726811389e-13,1.75416002876817e-09
"12755",39026371,"Freshwater","Saudi Arabia","Northern and Eastern","Asia",0,0,0,0,0,0,1.39630200307377e-11,0,2.45987514442478e-12,1.53229722538127e-12,7.07138514108832e-10,9.9475095954989e-11,3.84530501183418e-11,1.78597184965007e-12,8.05896095232631e-12,0,0,0,4.60843259036306e-11,0,0,3.6189478135182e-11,1.6250337496151e-10,0,1.1439803101344e-11,0,3.20051536434172e-11,3.16378379122158e-12,1.72959971092367e-12,4.6593854960278e-09
"12943",866549207,"Freshwater","United States","Northern and Western","North America",4.23518938146117e-14,3.11580690189242e-14,2.51713345575769e-13,9.71670152367931e-15,3.61202800108269e-14,4.71987045508888e-14,1.18791869138483e-12,2.94270651845395e-14,5.47604217010148e-13,3.99006769848674e-13,3.27133310734194e-10,2.22779242587201e-10,4.9384537720776e-11,7.47154339038014e-13,9.55702911398545e-12,5.98264698429295e-12,1.71312602678315e-12,6.530269665344e-13,3.100126315158e-12,5.1421257604359e-12,1.00672528801933e-12,6.38356651337862e-11,5.86494449356758e-12,4.91980947597821e-12,2.57720817463053e-11,1.37158654165152e-10,9.20370376612669e-11,7.5057269079008e-11,4.55304784555645e-13,1.41525332905878e-09
"12991",103424842,"Freshwater","United States","Northern and Western","North America",0,1.72105653301361e-13,0,1.38885394671427e-12,2.62992908415562e-13,6.79720641971104e-14,1.13007375926182e-11,4.55403161263713e-13,1.54565379950012e-12,5.27919588216533e-13,4.53441263173503e-10,1.6921710163212e-10,2.6944996444858e-11,1.9917845269708e-13,3.10000957023459e-12,3.62582134764102e-13,1.9917845269708e-13,0,3.625015931859e-11,0,0,2.05358592667707e-11,4.85900573094422e-11,0,8.46374026851305e-12,4.95999984220425e-11,2.08094299046645e-11,3.51053183141435e-11,0,1.30757552426331e-09
"13279",62977345,"Freshwater","South Korea","Northern and Eastern","Asia",0,0,0,0,0,0,0,0,0,1.19022515160015e-10,1.95326748055193e-10,0,0,0,0,0,0,0,5.31613233298419e-11,0,0,1.2906295112949e-10,0,0,4.22152807489741e-10,0,0,0,0,1.12547162793223e-09
"13753",6048466,"Freshwater","Brazil","Southern and Western","South America",0,0,0,0,0,0,3.62340416561819e-08,0,0,0,1.16088525586488e-09,9.11475240168334e-10,1.36705405965744e-10,0,0,0,0,0,3.09980084206475e-10,0,0,7.2104563371936e-11,4.38082647732499e-10,0,2.49756880504908e-10,0,3.3907060071099e-10,2.04870292732075e-10,0,6.4470940896419e-08
"14283",116294542,"Freshwater","United States","Northern and Western","North America",0,0,0,0,0,0,1.50479976953691e-13,0,0,9.91074886386328e-12,3.33852985121176e-11,1.99752624676057e-11,2.09913118708529e-11,0,0,0,0,0,0,0,0,3.79897450389374e-12,2.60545331525533e-13,0,0,0,2.24430137056647e-13,0,0,2.08848090222497e-10
"14860",47992171,"Freshwater","Greece","Northern and Eastern","Europe",0,0,0,0,0,0,1.06267332644735e-12,0,1.72111405420688e-12,0,3.5280941968639e-11,2.16474891290081e-12,0,0,0,1.28354268449327e-12,0,0,0,0,0,6.57244699348983e-12,0,0,1.90239362165967e-12,0,2.36344798821458e-12,0,0,8.79145892358151e-11
"15454",998115891,"Freshwater","United States","Northern and Western","North America",0,0,5.46028777734388e-15,0,3.93619221517835e-12,3.56714889734182e-12,3.30183100952152e-12,6.66255297602511e-14,0,9.97880114905414e-14,1.56182000913559e-10,9.49251292904222e-12,1.9115215148899e-12,1.11209530878013e-15,2.37447376739541e-14,7.86481817470633e-14,1.09205755546878e-15,6.68259072933646e-15,3.78490116635163e-13,0,0,4.25709583257201e-12,3.12140306360477e-12,0,8.21056560054307e-12,2.29026510910445e-12,1.53825624243067e-12,9.97937222502352e-13,0,1.67109513538443e-10
"16829",46051052,"Freshwater","Brazil","Southern and Western","South America",1.70897290250829e-12,0,3.94451358027608e-11,0,6.24969436094533e-12,2.68391262809805e-12,3.86179451448796e-11,0,4.35193098303161e-12,8.93460370894459e-11,4.113454780577e-09,2.76820407924666e-10,6.9259408015261e-10,0,1.99134213046859e-11,7.67428722366647e-12,2.65279498935225e-12,1.14221060574251e-12,4.12031629592305e-11,8.04450677912852e-12,2.50211439252246e-12,7.34427717308174e-10,8.99092381212051e-11,4.26982645260742e-12,1.74277712483094e-10,5.09510466775004e-10,1.44011693804519e-10,1.38216408172391e-10,3.62918962198735e-12,1.01876387970464e-08
"17340",413561,"Freshwater","Cape Verde","Northern and Western","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27257212358032e-07
"18097",14761420,"Marine","United States","Northern and Western","North America",0,0,0,0,0,0,0,0,0,0,1.19304500515533e-08,1.0703577298119e-12,1.78844582702748e-12,0,0,9.58972781751349e-12,0,0,0,8.34580954948779e-12,0,1.2704421390354e-10,0,0,0,0,0,0,0,4.94892081520612e-08
"18667",41712453,"Freshwater","Switzerland","Northern and Eastern","Europe",0,0,0,0,0,0,3.15203231994052e-12,0,8.06627219933577e-12,0,7.08449728430021e-10,1.85782408912753e-11,4.3834511482698e-11,0,8.32573907844739e-12,0,0,0,6.20717031434234e-11,0,0,1.97453264136732e-11,5.19216167891157e-11,0,0,0,1.77884527673307e-12,0,0,5.17068152285362e-10
"19115",393259014,"Freshwater","United States","Northern and Western","North America",0,0,0,4.72970722547761e-14,0,0,1.27452386889217e-12,0,0,0,3.00136515116218e-11,2.09377018882522e-12,1.56663414713235e-12,9.688271252188e-15,7.95913097620694e-14,1.04002701893567e-14,2.00631129080744e-14,2.26822518555163e-14,3.55938440104007e-13,0,0,7.48860139287233e-13,7.85795084152858e-13,0,5.38085568205183e-13,1.62234043540576e-14,2.298739425716e-13,2.54031049368394e-13,4.06856535524956e-14,8.88714886520058e-11
"19167",13265421,"Freshwater","Switzerland","Northern and Eastern","Europe",0,0,0,0,0,0,1.89442913270525e-11,0,0,0,2.6712221949081e-09,0,6.38004628726069e-11,0,1.94777082461235e-11,0,0,0,1.03784116614166e-11,0,0,6.64987564284616e-11,1.69101832501207e-10,0,6.34617627288271e-11,0,0,0,0,1.00130565023153e-09
"19284",1209322,"Freshwater","Brazil","Southern and Western","South America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42814568824515e-09,0,0,2.28509280406707e-09,2.43993411184118e-09,0,0,0,0,0,0,2.29598022693708e-08
"19395",6843559,"Freshwater","Switzerland","Northern and Eastern","Europe",0,0,0,0,0,0,0,0,0,0,4.97421502466772e-09,0,1.10709792960067e-10,0,0,0,0,0,3.98371665970879e-11,0,0,1.2493119442676e-10,3.23573742843453e-10,0,1.18729012199646e-10,0,0,0,0,1.90497955815096e-09
"19396",41712453,"Freshwater","Switzerland","Northern and Eastern","Europe",0,0,0,0,0,0,3.15203231994052e-12,0,8.06627219933577e-12,0,7.08449728430021e-10,1.85782408912753e-11,4.3834511482698e-11,0,8.32573907844739e-12,0,0,0,6.20717031434234e-11,0,0,1.97453264136732e-11,5.19216167891157e-11,0,0,0,1.77884527673307e-12,0,0,5.17068152285362e-10
"21104",878852,"Freshwater","Brazil","Southern and Western","South America",0,4.16667652801609e-09,0,0,0,0,0,0,0,0,6.01957781287407e-09,0,0,0,0,0,0,0,0,0,0,5.32860026489102e-09,0,0,0,0,0,0,0,1.93226453373264e-07
"80627",15296,"Marine","Antarctica","Southern and Eastern","Antarctica",0,0,0,0,0,0,0,0,0,0,0,0,2.9384199790795e-05,0,0,0,0,0,0,0,0,0,5.30880360878661e-06,0,0,0,0,0,0,0.000265880305962343
"82106",949056590,"Marine","Mexico","Northern and Western","North America",0,0,1.78082109940357e-13,0,0,0,3.3255235075076e-13,0,0,2.56043741290496e-14,7.62862707691646e-11,0,7.53379732603722e-15,0,0,0,0,0,0,0,0,2.75009944349051e-14,0,0,1.30625298118419e-12,0,2.63419486924378e-15,1.54593521130284e-13,0,3.0490417858012e-11
"82424",2429597,"Marine","United States","Northern and Western","North America",0,8.19849958655695e-10,0,0,0,0,6.26097249873127e-10,0,0,0,1.80570810714699e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72646163129112e-10,0,0,0,0,6.10714616456968e-09
"83955",126159929,"Marine","Russia","Northern and Eastern","Europe",0,1.15726127271362e-13,0,0,0,0,2.16690039513259e-12,0,0,2.85352094641715e-15,7.88107133446469e-11,2.42456541014699e-12,1.77553207088441e-12,0,0,8.76078489232504e-13,0,0,2.74145683769369e-12,1.11762903734672e-14,0,1.00994032740776e-11,3.3248512687416e-12,0,1.01169920601335e-11,2.9565647583711e-13,3.31122570622246e-12,2.70291845202291e-14,0,2.08185532507711e-10
"89262",1006165,"Marine","United States","Northern and Western","North America",0,0,0,0,0,0,0,0,0,0,3.06690344029061e-08,0,2.78363190927929e-09,0,0,0,3.06440414842496e-08,0,0,0,0,1.85673820894187e-09,0,0,0,1.93293744067822e-09,1.66324608786829e-10,0,0,2.7974731778585e-07
"89308",124042420,"Marine","Puerto Rico","Northern and Western","North America",0,0,0,0,0,0,0,0,0,0,1.3967157364392e-12,0,3.41012373025292e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55300017526262e-12
"96068",272570546,"Freshwater","France","Northern and Eastern","Europe",0,0,0,0,0,0,1.22170206901225e-13,7.55767646295869e-14,0,0,1.86006891588352e-10,7.52098871313851e-12,1.32442776850878e-11,4.03381809272965e-13,7.031207253039e-13,7.30086221421738e-14,0,3.01206426023742e-13,3.72013783176705e-11,0,0,2.73690613658601e-11,5.41144309847771e-11,3.87055760602982e-13,0,0,2.34801598849202e-12,1.08045423220453e-12,0,1.40330643062218e-10
"96089",740193418,"Marine","Japan","Northern and Eastern","Asia",0,4.52584408147223e-14,0,0,0,0,1.85109724928681e-13,2.62093657255407e-14,2.5945515770582e-13,0,9.11883682813294e-12,2.82969281955977e-13,7.98275134081238e-13,0,8.25459920531204e-14,0,0,1.44556810960456e-14,5.82992214610587e-13,0,0,1.01016299499167e-12,1.00515079154622e-12,4.56637402847049e-14,1.54230363610177e-12,6.24161183773185e-14,7.03870079536427e-14,1.35099823327529e-14,2.87762623687637e-14,1.18814282674424e-11
"97102",35392853,"Freshwater","Denmark","Northern and Eastern","Europe",0,0,0,0,0,0,4.46417812093306e-13,0,0,0,9.69122212329139e-13,1.05388508804306e-12,1.67774267872669e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26434133467568e-11,0,1.69615628330386e-10
"97220",84742,"Estuary","Colombia","Northern and Western","South America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97958037336858e-07
