gene1	gene2	correlation	p.adjusted
kpnO	multidrug__tap	0.700004829	1.29E-08
nikD	trimethoprim__dfrA17	0.700211682	1.27E-08
nikD	trimethoprim__dfrA7	0.700211682	1.27E-08
adeT2	vancomycin__vanB	0.700211682	1.27E-08
pmrB	vancomycin__vanB	0.700211682	1.27E-08
triC	vancomycin__vanB	0.700211682	1.27E-08
csoR	multidrug__mdtL	0.700519286	1.25E-08
beta_lactam__BcI	cutA	0.700526101	1.24E-08
beta_lactam__BcI	marA	0.700526101	1.24E-08
chloramphenicol__catA4	nikR	0.700526101	1.24E-08
fosfomycin__FosA5	nikR	0.700526101	1.24E-08
fosfomycin__FosA6	nikR	0.700526101	1.24E-08
beta_lactam__BcI	robA	0.700526101	1.24E-08
cutA	streptothricin__SatA	0.700526101	1.24E-08
marA	streptothricin__SatA	0.700526101	1.24E-08
robA	streptothricin__SatA	0.700526101	1.24E-08
fbpB	vancomycin__vanB	0.700526101	1.24E-08
frnE	vancomycin__vanB	0.700526101	1.24E-08
nixA	vancomycin__vanB	0.700526101	1.24E-08
srpA	vancomycin__vanB	0.700526101	1.24E-08
cutA	vancomycin__vanYF	0.700526101	1.24E-08
marA	vancomycin__vanYF	0.700526101	1.24E-08
robA	vancomycin__vanYF	0.700526101	1.24E-08
cutA	vancomycin__vanZF	0.700526101	1.24E-08
marA	vancomycin__vanZF	0.700526101	1.24E-08
robA	vancomycin__vanZF	0.700526101	1.24E-08
vancomycin__vanB	yhcN	0.700526101	1.24E-08
mtrD	rifamycin__iri	0.700733012	1.23E-08
fosfomycin__FosA7	pcoB	0.700762846	1.22E-08
aminoglycoside__aadS	kpnE	0.70086069	1.21E-08
aminoglycoside__aadS	ychH	0.70086069	1.21E-08
fosfomycin__FosA	merC	0.700984671	1.20E-08
chloramphenicol__catI	kmrA	0.701232631	1.18E-08
fosfomycin__FosA7	pcoC	0.701255783	1.18E-08
beta_lactam__imiS	tehA	0.701255783	1.18E-08
tehA	trimethoprim__dfrA1	0.701255783	1.18E-08
tehA	vancomycin__vanA	0.701255783	1.18E-08
tehA	vancomycin__vanD	0.701255783	1.18E-08
adeT1	fosfomycin__FosA	0.701356612	1.17E-08
quinolone__qepA	sitD	0.701451011	1.16E-08
aioE	beta_lactam__blaF	0.701480592	1.16E-08
bepF	chloramphenicol__catB2	0.701586252	1.15E-08
hefC	rifamycin__rgt1438	0.701586252	1.15E-08
beta_lactam__imiS	terW	0.701586252	1.15E-08
marR	trimethoprim__dfrA1	0.701586252	1.15E-08
terW	trimethoprim__dfrA1	0.701586252	1.15E-08
marR	vancomycin__vanA	0.701586252	1.15E-08
terW	vancomycin__vanA	0.701586252	1.15E-08
marR	vancomycin__vanD	0.701586252	1.15E-08
terW	vancomycin__vanD	0.701586252	1.15E-08
beta_lactam__imiS	yodD	0.701586252	1.15E-08
trimethoprim__dfrA1	yodD	0.701586252	1.15E-08
vancomycin__vanA	yodD	0.701586252	1.15E-08
vancomycin__vanD	yodD	0.701586252	1.15E-08
aioE	multidrug__tap	0.701670853	1.14E-08
chloramphenicol__catB8	cnrB	0.701701902	1.14E-08
chloramphenicol__catI	kpnE	0.701728553	1.14E-08
copM	vancomycin__vanXI	0.701728553	1.14E-08
chloramphenicol__catI	ychH	0.701728553	1.14E-08
beta_lactam__imiS	bexA	0.702247191	1.09E-08
beta_lactam__BcII	hefC	0.702247191	1.09E-08
beta_lactam__imiS	hupE2	0.702247191	1.09E-08
beta_lactam__imiS	lde	0.702247191	1.09E-08
multidrug__qacE	smeT	0.702247191	1.09E-08
bexA	trimethoprim__dfrA1	0.702247191	1.09E-08
hupE2	trimethoprim__dfrA1	0.702247191	1.09E-08
lde	trimethoprim__dfrA1	0.702247191	1.09E-08
bexA	vancomycin__vanA	0.702247191	1.09E-08
hupE2	vancomycin__vanA	0.702247191	1.09E-08
lde	vancomycin__vanA	0.702247191	1.09E-08
bexA	vancomycin__vanD	0.702247191	1.09E-08
hupE2	vancomycin__vanD	0.702247191	1.09E-08
lde	vancomycin__vanD	0.702247191	1.09E-08
ttgR	vancomycin__vanF	0.702247191	1.09E-08
emhC	quinolone__qepA	0.702269157	1.09E-08
adeD	quinolone__lfrA	0.702559674	1.07E-08
beta_lactam__imiS	cmtR	0.70257766	1.07E-08
beta_lactam__imiS	gadX	0.70257766	1.07E-08
czrB	trimethoprim__DfrA43_TMP	0.70257766	1.07E-08
nccB	trimethoprim__DfrA43_TMP	0.70257766	1.07E-08
cmtR	trimethoprim__dfrA1	0.70257766	1.07E-08
gadX	trimethoprim__dfrA1	0.70257766	1.07E-08
terA	trimethoprim__dfrC	0.70257766	1.07E-08
gadX	vancomycin__vanA	0.70257766	1.07E-08
cmtR	vancomycin__vanD	0.70257766	1.07E-08
gadX	vancomycin__vanD	0.70257766	1.07E-08
nfsA	sulfonamide__sul2	0.702647215	1.06E-08
beta_lactam__imiS	ibpB	0.702816364	1.05E-08
csoR	multidrug__qacE	0.702816364	1.05E-08
pcoB	vancomycin__vanD	0.703073053	1.03E-08
multidrug__emrD	tehB	0.703179223	1.02E-08
aminoglycoside__aadA7	emrAsm	0.703244431	1.01E-08
beta_lactam__blaZ	nccB	0.704099812	9.48E-09
rifamycin__iri	terD	0.70427992	9.35E-09
chloramphenicol__catB11	vmeC	0.704332139	9.31E-09
chloramphenicol__cmx	nfsA	0.704342216	9.30E-09
chloramphenicol__catI	cueO	0.704902449	8.91E-09
beta_lactam__imiS	smfY	0.704907636	8.90E-09
beta_lactam__imiS	cuiD	0.705149955	8.74E-09
beta_lactam__imiS	dsbC	0.705149955	8.74E-09
cinA	multidrug__qacE	0.705392275	8.57E-09
chloramphenicol__catB3	dsbC	0.705401564	8.57E-09
dsbC	other_peptide_antibiotics__ArnT	0.705579247	8.45E-09
aminoglycoside__aadA7	cutA	0.705659479	8.40E-09
aminoglycoside__aadA7	marA	0.705659479	8.40E-09
beta_lactam__BcII	tehB	0.705876914	8.25E-09
beta_lactam__blaF	nikB	0.706051115	8.14E-09
aminoglycoside__aadA4	terA	0.706071764	8.13E-09
beta_lactam__blaS1	terA	0.706071764	8.13E-09
beta_lactam__cphA7	terA	0.706071764	8.13E-09
chloramphenicol__catQ	terA	0.706071764	8.13E-09
chloramphenicol__cmlA4	terA	0.706071764	8.13E-09
chloramphenicol__cmlA5	terA	0.706071764	8.13E-09
quinolone__QnrB19	terA	0.706071764	8.13E-09
quinolone__QnrB5	terA	0.706071764	8.13E-09
terA	trimethoprim__dfrA18	0.706071764	8.13E-09
terA	trimethoprim__dfrA5	0.706071764	8.13E-09
aminoglycoside__aadA4	ttgF	0.706071764	8.13E-09
beta_lactam__blaS1	ttgF	0.706071764	8.13E-09
beta_lactam__cphA7	ttgF	0.706071764	8.13E-09
chloramphenicol__catQ	ttgF	0.706071764	8.13E-09
chloramphenicol__cmlA4	ttgF	0.706071764	8.13E-09
chloramphenicol__cmlA5	ttgF	0.706071764	8.13E-09
quinolone__QnrB19	ttgF	0.706071764	8.13E-09
quinolone__QnrB5	ttgF	0.706071764	8.13E-09
trimethoprim__dfrA18	ttgF	0.706071764	8.13E-09
trimethoprim__dfrA5	ttgF	0.706071764	8.13E-09
terA	vancomycin__vanE	0.706071764	8.13E-09
ttgF	vancomycin__vanE	0.706071764	8.13E-09
nccB	vancomycin__vanH_in_vanP_cl	0.706071764	8.13E-09
emrRsm	vancomycin__vanYB	0.706071764	8.13E-09
hasF	vancomycin__vanYB	0.706071764	8.13E-09
kpnF	vancomycin__vanYB	0.706071764	8.13E-09
mdtA	vancomycin__vanYB	0.706071764	8.13E-09
vancomycin__vanYB	ygiW	0.706071764	8.13E-09
aioE	florfenicol__floR	0.70617598	8.08E-09
chloramphenicol__catB3	cuiD	0.706467662	7.90E-09
chloramphenicol__catB3	phoR	0.706467662	7.90E-09
emrCsm	multidrug__tap	0.706521288	7.86E-09
emrR	tetracycline__tetA	0.706630557	7.80E-09
cuiD	other_peptide_antibiotics__ArnT	0.706645345	7.79E-09
other_peptide_antibiotics__ArnT	phoR	0.706645345	7.79E-09
aminoglycoside__aadA7	silC	0.706939974	7.61E-09
cadD	multidrug__qacA	0.706989933	7.58E-09
bleomycin__BLMT	nccB	0.706989933	7.58E-09
factumycin__facT	nccB	0.706989933	7.58E-09
beta_lactam__imiS	norB	0.706989933	7.58E-09
aminoglycoside__aadA16	terA	0.706989933	7.58E-09
chloramphenicol__catII	terA	0.706989933	7.58E-09
chloramphenicol__cmlB1	terA	0.706989933	7.58E-09
fosfomycin__FosA4	terA	0.706989933	7.58E-09
multidrug__CrcB	terA	0.706989933	7.58E-09
multidrug__efmA	terA	0.706989933	7.58E-09
quinolone__QnrB21	terA	0.706989933	7.58E-09
quinolone__QnrB25	terA	0.706989933	7.58E-09
quinolone__QnrB27	terA	0.706989933	7.58E-09
quinolone__QnrB28	terA	0.706989933	7.58E-09
quinolone__QnrB30	terA	0.706989933	7.58E-09
quinolone__QnrB33	terA	0.706989933	7.58E-09
quinolone__QnrB35	terA	0.706989933	7.58E-09
quinolone__QnrB37	terA	0.706989933	7.58E-09
quinolone__QnrB4	terA	0.706989933	7.58E-09
quinolone__QnrB60	terA	0.706989933	7.58E-09
quinolone__QnrB61	terA	0.706989933	7.58E-09
quinolone__QnrB65	terA	0.706989933	7.58E-09
quinolone__QnrB71	terA	0.706989933	7.58E-09
quinolone__QnrB72	terA	0.706989933	7.58E-09
quinolone__QnrB73	terA	0.706989933	7.58E-09
quinolone__QnrB8	terA	0.706989933	7.58E-09
quinolone__QnrD1	terA	0.706989933	7.58E-09
quinolone__QnrD2	terA	0.706989933	7.58E-09
quinolone__QnrS3	terA	0.706989933	7.58E-09
quinolone__QnrS7	terA	0.706989933	7.58E-09
nccB	trimethoprim__dfrA19	0.706989933	7.58E-09
tehA	trimethoprim__dfrA8	0.706989933	7.58E-09
nccB	trimethoprim__dfrB7	0.706989933	7.58E-09
norB	trimethoprim__dfrC	0.706989933	7.58E-09
aminoglycoside__aadA16	ttgF	0.706989933	7.58E-09
chloramphenicol__catII	ttgF	0.706989933	7.58E-09
chloramphenicol__cmlB1	ttgF	0.706989933	7.58E-09
fosfomycin__FosA4	ttgF	0.706989933	7.58E-09
multidrug__CrcB	ttgF	0.706989933	7.58E-09
multidrug__efmA	ttgF	0.706989933	7.58E-09
quinolone__QnrB21	ttgF	0.706989933	7.58E-09
quinolone__QnrB25	ttgF	0.706989933	7.58E-09
quinolone__QnrB27	ttgF	0.706989933	7.58E-09
quinolone__QnrB28	ttgF	0.706989933	7.58E-09
quinolone__QnrB30	ttgF	0.706989933	7.58E-09
quinolone__QnrB33	ttgF	0.706989933	7.58E-09
quinolone__QnrB35	ttgF	0.706989933	7.58E-09
quinolone__QnrB37	ttgF	0.706989933	7.58E-09
quinolone__QnrB4	ttgF	0.706989933	7.58E-09
quinolone__QnrB60	ttgF	0.706989933	7.58E-09
quinolone__QnrB61	ttgF	0.706989933	7.58E-09
quinolone__QnrB65	ttgF	0.706989933	7.58E-09
quinolone__QnrB71	ttgF	0.706989933	7.58E-09
quinolone__QnrB72	ttgF	0.706989933	7.58E-09
quinolone__QnrB73	ttgF	0.706989933	7.58E-09
quinolone__QnrB8	ttgF	0.706989933	7.58E-09
quinolone__QnrD1	ttgF	0.706989933	7.58E-09
quinolone__QnrD2	ttgF	0.706989933	7.58E-09
quinolone__QnrS3	ttgF	0.706989933	7.58E-09
quinolone__QnrS7	ttgF	0.706989933	7.58E-09
terA	vancomycin__vanTG	0.706989933	7.58E-09
ttgF	vancomycin__vanTG	0.706989933	7.58E-09
trimethoprim__DfrA43_TMP	vmeE	0.706989933	7.58E-09
vancomycin__vanD	vmeE	0.706989933	7.58E-09
trimethoprim__DfrA43_TMP	vpoC	0.706989933	7.58E-09
vancomycin__vanD	vpoC	0.706989933	7.58E-09
cutC	multidrug__ParS	0.70715339	7.53E-09
fecE	multidrug__ParS	0.70715339	7.53E-09
arsD	multidrug__abcA	0.707361018	7.40E-09
quinolone__lfrA	ricR	0.707364716	7.40E-09
adeA	multidrug__pmrA	0.707431647	7.36E-09
cueO	multidrug__emrD	0.707463576	7.34E-09
bacitracin__BahA	corS	0.707481563	7.33E-09
chloramphenicol__catI	oprN	0.707521406	7.31E-09
aminoglycoside__aadA	qacE	0.707541473	7.30E-09
phoR	quinolone__norB	0.707697268	7.21E-09
aminoglycoside__aadS	bepC	0.707803588	7.15E-09
multidrug__RanB	ybtP	0.707888155	7.10E-09
fosfomycin__FosA	nikR	0.707927568	7.08E-09
fosfomycin__FosA	robA	0.707927568	7.08E-09
fecE	multidrug__emrD	0.70797751	7.05E-09
beta_lactam__mecA	cutA	0.708229373	6.91E-09
beta_lactam__mecA	marA	0.708229373	6.91E-09
beta_lactam__mecA	robA	0.708229373	6.91E-09
emhR	quinolone__QepA4	0.708448302	6.80E-09
aminoglycoside__aadA6	copM	0.708543792	6.75E-09
chloramphenicol__catB9	vmeA	0.708543792	6.75E-09
aminoglycoside__aadS	kmrA	0.70854747	6.74E-09
multidrug__pmrA	qacF	0.708919411	6.55E-09
beta_lactam__BcI	nikD	0.709172631	6.42E-09
qacR	quinolone__norA	0.709172631	6.42E-09
nikD	streptothricin__SatA	0.709172631	6.42E-09
nikD	vancomycin__vanYF	0.709172631	6.42E-09
nikD	vancomycin__vanZF	0.709172631	6.42E-09
